title,publish_time,source,related_instruments
汽车零部件、智能驾驶概念股尾盘拉升 浙江世宝涨停,2023-07-06 14:36:01,快兰斯24小时财经,"603197.SH,002536.SZ,002355.SZ,01057.HK,603048.SH,301007.SZ,002906.SZ,002703.SZ"
AI概念表现活跃 能否再次成为阶段主线？,2023-07-06 15:14:18,快兰斯24小时财经,600109.SH
亿纬锂能：上半年公司在小鹏汽车的供应占比最大,2023-07-06 15:27:18,快兰斯24小时财经,"XPEV.US,09868.HK"
泰永长征：目前与比亚迪有充电桩及配套低压电器产品的合作,2023-07-06 15:33:18,快兰斯24小时财经,"01211.HK,002594.SZ"
机器人RV/谐波减速器轴承等产品已逐步进入批量配套阶段,2023-07-06 15:50:43,快兰斯24小时财经,HLIT.US
华润微：2023年公司IGBT产品营收的目标是10亿元,2023-07-06 16:22:25,快兰斯24小时财经,00597.HK
华润微：2023年碳化硅和氮化镓产品营收力争规模上亿元平台,2023-07-06 17:28:17,快兰斯24小时财经,00597.HK
中国船舶上船院研发17.5万立方米A-BOX大型LNG船获美国船级社AIP证书,2023-07-06 17:46:51,快兰斯24小时财经,LOW.US
鸿博股份回复关注函：无法说明英伟达与公司合作与其他客户的差异化程度,2023-07-06 17:51:37,快兰斯24小时财经,NVDA.US
颀中科技：尚未向英伟达、AMD等公司提供AI芯片封测服务,2023-07-06 18:02:25,快兰斯24小时财经,"AMD.US,NVDA.US"
中国信通院、工信部电子第五研究所与华为等成立“大模型产业工作组”,2023-07-06 19:27:58,快兰斯24小时财经,"301236.SZ,03968.HK,600050.SH,00762.HK,00728.HK,601728.SH,09999.HK,NTES.US,600036.SH,002230.SZ"
创业慧康与飞利浦高层就未来合作展开深入交流,2023-07-06 19:48:56,快兰斯24小时财经,PHG.US
弘信电子：拟与中国移动通信集团甘肃有限公司签订战略合作协议,2023-07-06 20:05:42,快兰斯24小时财经,300657.SZ
四川路桥：全资子公司清洁能源集拟2.64亿元团投资毛尔盖水电有限公司,2023-07-06 20:30:01,快兰斯24小时财经,CLNE.US
万兴科技：已与微软签署云服务框架协议,2023-07-06 20:33:00,快兰斯24小时财经,MSFT.US
国华网安：上半年预亏2000万元-3000万元,2023-07-06 20:53:49,快兰斯24小时财经,00370.HK
又一批银行下调存款利率 美元存款、大额存单也在降,2023-07-06 21:06:00,快兰斯24小时财经,IBOC.US
禾信仪器：撤回申请文件，上交所决定终止审核公司发行可转债不超2.3亿元事项,2023-07-06 23:02:29,快兰斯24小时财经,"01776.HK,000776.SZ"
“AI 汽车”站上风口 多家上市公司深度布局智能驾驶,2023-07-07 06:44:01,快兰斯24小时财经,"002405.SZ,300496.SZ,002036.SZ,002456.SZ,002920.SZ"
内地券商：城投风险对银行影响可控,2023-07-07 06:53:45,快兰斯24小时财经,GS.US
稀土永磁板块再度回调,2023-07-07 09:32:33,快兰斯24小时财经,"300127.SZ,301141.SZ,300835.SZ"
电力板块异动拉升 晋控电力涨停,2023-07-07 09:36:19,快兰斯24小时财经,"000767.SZ,600509.SH,002893.SZ,000037.SZ,000040.SZ"
CPO概念股盘初回调,2023-07-07 09:37:18,快兰斯24小时财经,"002281.SZ,300620.SZ,600105.SH,688048.SH,300913.SZ"
酒店及餐饮板块盘初走高,2023-07-07 09:43:01,快兰斯24小时财经,"000428.SZ,600258.SH,002186.SZ,301073.SZ"
AIGC概念股持续下挫,2023-07-07 09:58:18,快兰斯24小时财经,"002373.SZ,300846.SZ,300170.SZ"
零售股异动拉升 三江购物涨停,2023-07-07 09:58:31,快兰斯24小时财经,"002336.SZ,600859.SH,000759.SZ,600729.SH,605188.SH,002561.SZ"
网络安全概念股震荡下挫 吉大正元逼近跌停,2023-07-07 10:00:44,快兰斯24小时财经,"003029.SZ,300895.SZ,300369.SZ,688152.SH"
种业板块异动拉升,2023-07-07 10:01:55,快兰斯24小时财经,"300087.SZ,600313.SH,300189.SZ,600354.SH"
游戏、传媒股持续震荡下跌,2023-07-07 10:15:18,快兰斯24小时财经,"002605.SZ,300148.SZ,002995.SZ,002555.SZ"
化学制药板块异动拉升,2023-07-07 10:19:19,快兰斯24小时财经,"000963.SZ,002294.SZ,002262.SZ"
